Date référence;Numéro commune;Nom commune;Numéro EPCI;Nom EPCI;Numéro Département;Nom Département;Taux de couv EAJE PSU;Taux de couv hors EAJE PSU;Taux de couv EAJE - ensemble;Taux de couv préscolarisation;Taux de couv assistante maternelle;Taux de couv salariée à domicile;Taux de couv accueil individuel - ensemble;Taux de couv global
2021;01033;VALSERHONE;240100891;CC DU PAYS BELLEGARDIEN (CCPB);01;AIN;10.3;3.2;13.4;7.3;33.5;0.0;33.5;54.2
2021;01249;MIRIBEL;240100800;CC DE MIRIBEL ET DU PLATEAU;01;AIN;24.9;2.4;27.4;2.4;35.9;1.7;37.7;67.2
2021;01283;OYONNAX;200042935;CA HAUT - BUGEY AGGLOMERATION;01;AIN;6.3;1.5;7.8;9.9;17.9;0.2;18.2;35.9
2021;02173;CHAUNY;200071785;CA CHAUNY TERGNIER LA FERE;02;AISNE;19.2;3.5;22.8;5.8;42.6;0.3;42.9;71.5
2021;02738;TERGNIER;200071785;CA CHAUNY TERGNIER LA FERE;02;AISNE;7.4;2.7;10.1;9.4;33.6;0.7;34.3;53.8
2021;03185;MONTLUCON;200071082;CA MONTLUCON COMMUNAUTE;03;ALLIER;15.2;0.0;15.2;5.7;37.6;0.7;38.3;59.2
2021;03310;VICHY;200071363;CA VICHY COMMUNAUTE;03;ALLIER;32.8;0.0;32.8;14.5;31.4;1.4;32.8;80.1
2021;05023;BRIANCON;240500439;CC DU BRIANCONNAIS;05;HAUTES ALPES;29.3;0.3;29.6;0.0;15.9;2.0;17.9;47.5
2021;06083;MENTON;240600551;CA DE LA RIVIERA FRANCAISE;06;ALPES MARITIMES;21.7;0.7;22.4;0.2;23.0;0.8;23.8;46.3
2021;06104;ROQUEBRUNE CAP MARTIN;240600551;CA DE LA RIVIERA FRANCAISE;06;ALPES MARITIMES;33.7;0.8;34.4;2.0;15.3;0.8;16.1;52.5
2021;06069;GRASSE;200039857;CA DU PAYS DE GRASSE;06;ALPES MARITIMES;23.2;1.4;24.6;0.4;20.6;1.0;21.6;46.6
2021;06030;LE CANNET;200039915;CA CANNES PAYS DE LERINS;06;ALPES MARITIMES;22.1;3.3;25.4;0.6;19.1;1.4;20.6;46.5
2021;06088;NICE;200030195;METROPOLE NICE COTE D'AZUR;06;ALPES MARITIMES;26.9;1.4;28.2;2.9;14.7;1.7;16.4;47.6
2021;06027;CAGNES SUR MER;200030195;METROPOLE NICE COTE D'AZUR;06;ALPES MARITIMES;22.7;2.6;25.2;0.8;22.5;1.0;23.4;49.5
2021;06029;CANNES;200039915;CA CANNES PAYS DE LERINS;06;ALPES MARITIMES;36.5;2.1;38.5;0.9;11.3;1.3;12.6;52.1
2021;06004;ANTIBES;240600585;CA DE SOPHIA ANTIPOLIS;06;ALPES MARITIMES;19.4;2.9;22.3;0.5;28.4;1.4;29.8;52.6
2021;07019;AUBENAS;200073245;CC DU BASSIN D'AUBENAS;07;ARDECHE;26.8;0.0;26.8;6.4;19.5;1.7;21.1;54.7
2021;07324;TOURNON SUR RHONE;200073096;CA ARCHE AGGLO;07;ARDECHE;17.0;0.3;17.3;11.9;34.7;1.0;35.7;65.0
2021;09225;PAMIERS;200066231;CC DES PORTES D'ARIEGE PYRENEES;09;ARIEGE;40.8;0.2;41.0;1.1;20.3;0.6;20.9;63.0
2021;10333;SAINT ANDRE LES VERGERS;200069250;CA TROYES CHAMPAGNE METROPOLE;10;AUBE;26.0;0.2;26.2;0.0;30.6;1.4;32.0;58.2
2021;10323;ROMILLY SUR SEINE;200000545;CC DES PORTES DE ROMILLY SUR SEINE;10;AUBE;11.7;0.2;11.9;8.7;31.8;0.4;32.2;52.9
2021;11069;CARCASSONNE;200035715;CA CARCASSONNE AGGLO;11;AUDE;18.9;0.1;19.0;7.3;21.3;1.7;23.0;49.3
2021;11203;LEZIGNAN CORBIERES;200035863;CC REGION LEZIGNANAISE, CORBIERES ET MINERVOIS;11;AUDE;15.5;0.0;15.5;9.6;20.3;1.2;21.5;46.6
2021;12300;VILLEFRANCHE DE ROUERGUE;200069383;CC OUEST AVEYRON COMMUNAUTE;12;AVEYRON;15.0;0.0;15.0;9.2;31.7;0.3;32.1;56.3
2021;13004;ARLES;241300417;CA D'ARLES-CRAU-CAMARGUE-MONTAGNETTE;13;BOUCHES DU RHONE;11.1;1.3;12.5;3.4;17.1;0.8;17.9;33.7
2021;13005;AUBAGNE;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;20.0;2.7;22.6;2.7;23.9;0.8;24.7;50.1
2021;13054;MARIGNANE;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;21.2;2.7;23.9;0.0;22.9;0.8;23.7;47.6
2021;13056;MARTIGUES;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;29.0;0.6;29.7;1.5;9.8;1.0;10.8;41.9
2021;13071;LES PENNES MIRABEAU;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;22.7;6.8;29.5;3.2;18.4;1.2;19.6;52.3
2021;13081;ROGNAC;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;19.8;4.9;24.6;0.0;42.0;0.5;42.4;67.1
2021;13103;SALON DE PROVENCE;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;22.5;2.1;24.6;0.2;20.8;1.8;22.6;47.4
2021;13108;TARASCON;241300417;CA D'ARLES-CRAU-CAMARGUE-MONTAGNETTE;13;BOUCHES DU RHONE;12.9;0.5;13.4;2.4;7.0;0.3;7.3;23.0
2021;13110;TRETS;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;25.9;4.5;30.4;0.0;23.0;0.3;23.3;53.7
2021;13212;MARSEILLE 12E ARRONDISSEMENT;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;20.9;7.6;28.6;0.3;18.9;2.7;21.5;50.3
2021;13213;MARSEILLE 13E ARRONDISSEMENT;200054807;METROPOLE D'AIX-MARSEILLE-PROVENCE;13;BOUCHES DU RHONE;20.2;2.6;22.8;6.0;9.2;1.6;10.9;39.7
2021;14047;BAYEUX;241400555;CC DE BAYEUX INTERCOM;14;CALVADOS;16.0;3.6;19.6;6.0;68.4;2.4;70.8;96.4
2021;15014;AURILLAC;241500230;CA DU BASSIN D'AURILLAC;15;CANTAL;37.7;0.2;37.9;9.3;47.1;1.4;48.5;95.7
2021;17415;SAINTES;200036473;CA DE SAINTES;17;CHARENTE MARITIME;29.5;0.0;29.5;4.0;48.4;2.0;50.4;83.9
2021;17299;ROCHEFORT;200041762;CA ROCHEFORT OCEAN;17;CHARENTE MARITIME;34.3;0.6;34.9;5.9;37.4;0.9;38.3;79.1
2021;18279;VIERZON;200090561;CC VIERZON-SOLOGNE-BERRY;18;CHER;10.2;0.0;10.2;4.1;36.1;0.3;36.3;50.7
2021;19031;BRIVE LA GAILLARDE;200043172;CA DU BASSIN DE BRIVE;19;CORREZE;29.8;0.6;30.4;6.8;24.0;3.9;27.8;65.0
2021;21617;TALANT;242100410;DIJON METROPOLE;21;COTE D OR;31.7;4.3;36.0;2.8;22.9;0.8;23.7;62.5
2021;21054;BEAUNE;200006682;CA BEAUNE, COTE ET SUD - COMMUNAUTE BEAUNE-CHAGNY-NOLAY;21;COTE D OR;33.0;1.4;34.4;10.6;43.0;1.0;44.0;89.0
2021;21231;DIJON;242100410;DIJON METROPOLE;21;COTE D OR;37.5;4.7;42.2;3.4;19.2;2.5;21.8;67.4
2021;22278;SAINT BRIEUC;200069409;CA SAINT-BRIEUC ARMOR AGGLOMERATION;22;COTES D ARMOR;19.7;0.4;20.1;7.1;31.9;0.8;32.7;60.0
2021;22187;PLERIN;200069409;CA SAINT-BRIEUC ARMOR AGGLOMERATION;22;COTES D ARMOR;35.2;1.3;36.5;11.4;55.2;1.9;57.1;104.8
2021;22050;DINAN;200068989;CA DINAN AGGLOMERATION;22;COTES D ARMOR;22.7;2.1;24.8;10.5;29.4;0.7;30.1;65.4
2021;22093;LAMBALLE ARMOR;200069391;CA LAMBALLE TERRE ET MER;22;COTES D ARMOR;11.6;2.5;14.1;10.6;79.1;1.3;80.4;105.0
2021;24053;BOULAZAC ISLE MANOIRE;200040392;CA LE GRAND PERIGUEUX;24;DORDOGNE;29.0;0.3;29.4;5.9;37.4;0.0;37.4;72.7
2021;24037;BERGERAC;200070647;CA BERGERACOISE;24;DORDOGNE;26.9;0.0;26.9;9.0;27.6;2.1;29.7;65.6
2021;25462;PONTARLIER;242500338;CC DU GRAND PONTARLIER;25;DOUBS;20.3;2.8;23.1;0.0;29.9;0.5;30.4;53.6
2021;26362;VALENCE;200068781;CA VALENCE ROMANS AGGLO;26;DROME;34.2;2.5;36.8;6.6;21.2;1.5;22.7;66.1
2021;26252;PORTES LES VALENCE;200068781;CA VALENCE ROMANS AGGLO;26;DROME;8.1;0.5;8.6;2.3;39.8;0.0;39.8;50.7
2021;26235;PIERRELATTE;200042901;CC DROME SUD PROVENCE;26;DROME;10.0;2.8;12.9;2.8;31.5;0.6;32.1;48.0
2021;27229;EVREUX;200071454;CA EVREUX PORTES DE NORMANDIE;27;EURE;26.0;2.0;28.1;4.6;18.6;0.4;19.0;51.7
2021;27284;GISORS;200071843;CC DU VEXIN NORMAND;27;EURE;29.5;2.2;31.7;0.0;36.6;1.4;37.9;69.6
2021;28229;MAINVILLIERS;200033181;CA CHARTRES METROPOLE;28;EURE ET LOIR;17.8;0.2;18.0;9.9;27.6;0.7;28.3;56.4
2021;28085;CHARTRES;200033181;CA CHARTRES METROPOLE;28;EURE ET LOIR;34.7;2.7;37.4;1.1;30.5;2.1;32.6;71.2
2021;29233;QUIMPERLE;242900694;CA QUIMPERLE COMMUNAUTE;29;FINISTERE;12.7;2.4;15.0;9.1;54.9;0.6;55.5;79.6
2021;30032;BEAUCAIRE;243000585;CC BEAUCAIRE TERRE D'ARGENCE;30;GARD;21.1;0.2;21.2;3.2;12.5;0.9;13.3;37.7
2021;30258;SAINT GILLES;243000643;CA DE NIMES METROPOLE;30;GARD;7.4;0.9;8.3;2.5;29.0;0.7;29.7;40.3
